taxonomy,iml,slight,moderate,extreme,complete
W,0.01,1.78E-07,1.91E-10,1.71E-14,5.84E-17
W,0.05,0.0049971,0.000089584,2.03E-07,3.92E-09
W,0.1,0.06772,0.0038647,0.000033953,1.38E-06
W,0.15,0.19505,0.021172,0.0004041,0.000025058
W,0.2,0.34092,0.056982,0.001863,0.00015573
W,0.25,0.47557,0.10898,0.0053583,0.00056314
W,0.3,0.58846,0.1718,0.011697,0.0014791
W,0.35,0.67884,0.24002,0.021379,0.0031554
W,0.4,0.74956,0.30939,0.034576,0.0058255
W,0.45,0.80431,0.37693,0.051194,0.0096806
W,0.5,0.84655,0.44081,0.070949,0.014857
W,0.55,0.87914,0.5,0.093444,0.021436
W,0.6,0.90433,0.55407,0.11823,0.029446
W,0.65,0.92389,0.60296,0.14484,0.038872
W,0.7,0.93913,0.64684,0.17283,0.049662
W,0.75,0.95107,0.68603,0.2018,0.061739
W,0.8,0.96047,0.72088,0.23136,0.075005
W,0.85,0.96791,0.75181,0.2612,0.08935
W,0.9,0.97382,0.7792,0.29104,0.10466
W,0.95,0.97855,0.80344,0.32066,0.1208
W,1,0.98235,0.82488,0.34985,0.13767
W2,0.01,1.783E-07,1.5913E-10,6.1293E-14,3.7176E-17
W2,0.05,0.0049971,0.000080047,4.8111E-07,2.853E-09
W2,0.1,0.06772,0.0035531,0.00006777,1.0575E-06
W2,0.15,0.19505,0.019781,0.00072972,0.000019905
W2,0.2,0.34092,0.053832,0.0031368,0.00012657
W2,0.25,0.47557,0.10381,0.008552,0.0004658
W2,0.3,0.58846,0.16472,0.017883,0.001241
W2,0.35,0.67884,0.23136,0.031533,0.0026791
W2,0.4,0.74956,0.29954,0.049463,0.0049971
W2,0.45,0.80431,0.36629,0.071318,0.0083786
W2,0.5,0.84655,0.42972,0.096557,0.012961
W2,0.55,0.87914,0.48877,0.12456,0.018834
W2,0.6,0.90433,0.54292,0.15469,0.026039
W2,0.65,0.92389,0.59207,0.18634,0.034576
W2,0.7,0.93913,0.63633,0.21897,0.044412
W2,0.75,0.95107,0.67597,0.2521,0.055487
W2,0.8,0.96047,0.71134,0.28534,0.06772
W2,0.85,0.96791,0.74281,0.31835,0.081017
W2,0.9,0.97382,0.77076,0.35086,0.095276
W2,0.95,0.97855,0.79555,0.38265,0.11039
W2,1,0.98235,0.81752,0.41357,0.12624
