asset_ref,no_damage,slight,moderate,extreme,complete
a1,9.805109479E-01,1.124764991E-02,6.419940299E-03,1.442400419E-03,3.790614912E-04
a10,9.793990549E-01,1.164630698E-02,6.818877745E-03,1.628615054E-03,5.071453587E-04
a100,2.933498964E+00,3.748407671E-02,2.202107387E-02,5.300617737E-03,1.695267297E-03
a1000,1.511539750E+02,2.770334918E+00,1.603945557E+00,3.690081991E-01,1.027363510E-01
a1001,1.538753886E+02,1.219854530E+00,7.004165860E-01,1.602559150E-01,4.408436476E-02
a1002,1.528690371E+02,1.785890083E+00,1.034490831E+00,2.407669238E-01,6.981509390E-02
a1003,1.541507347E+02,1.634325171E+00,9.392917609E-01,2.151802949E-01,6.046811394E-02
a1004,1.549378087E+02,1.746398808E+00,1.011670032E+00,2.356692983E-01,6.845318488E-02
a1005,1.554033013E+02,1.488074254E+00,8.559119946E-01,1.967962726E-01,5.591614505E-02
a1006,1.539257457E+02,2.348768158E+00,1.343888453E+00,3.020464820E-01,7.955125285E-02
a1007,1.536099795E+02,2.522123083E+00,1.449806178E+00,3.290478732E-01,8.904333135E-02
a1008,1.556289099E+02,1.355014011E+00,7.815331728E-01,1.813317478E-01,5.321114660E-02
a1009,1.551549493E+02,1.638368393E+00,9.381411646E-01,2.122891381E-01,5.625200320E-02
a101,2.938963775E+00,3.456747298E-02,2.022086118E-02,4.803363192E-03,1.444527550E-03
a1010,1.550136124E+02,1.709048794E+00,9.850044990E-01,2.271568103E-01,6.517751957E-02
a1011,1.543414494E+02,2.077373111E+00,1.210686518E+00,2.851778183E-01,8.531315453E-02
a1012,1.550395846E+02,2.250733852E+00,1.311135155E+00,3.078171935E-01,9.072921214E-02
a1013,1.546817852E+02,2.486722302E+00,1.425874829E+00,3.212794153E-01,8.433824319E-02
a1014,1.575647817E+02,1.386999219E+00,8.040106770E-01,1.883538520E-01,5.585456488E-02
a1015,1.568809547E+02,1.784619908E+00,1.029154564E+00,2.374003940E-01,6.787039562E-02
a1016,1.572130805E+02,1.596743543E+00,9.183977727E-01,2.112245441E-01,6.055366245E-02
a1017,1.575346945E+02,1.407670284E+00,8.125972643E-01,1.889822912E-01,5.605564395E-02
a1018,1.576201139E+02,1.359867930E+00,7.848628099E-01,1.821640527E-01,5.299131330E-02
a1019,1.579782955E+02,1.731215947E+00,9.968892206E-01,2.290996016E-01,6.449974427E-02
a102,2.950200820E+00,2.820878265E-02,1.645461916E-02,3.915734562E-03,1.220043344E-03
a1020,1.582209998E+02,1.596147443E+00,9.166132720E-01,2.091723061E-01,5.706721605E-02
a1021,1.594445671E+02,1.461183164E+00,8.424526697E-01,1.950656016E-01,5.673150532E-02
a1022,1.588295382E+02,1.746348807E+00,1.052331657E+00,2.699402940E-01,1.018410281E-01
a1023,1.591523681E+02,1.632892045E+00,9.393615609E-01,2.154273393E-01,5.995096924E-02
a1024,1.592742683E+02,1.559965034E+00,8.980452107E-01,2.072857263E-01,6.043570774E-02
a1025,1.591700863E+02,1.618369572E+00,9.339179234E-01,2.159395793E-01,6.168661062E-02
a1026,1.583925046E+02,2.619063895E+00,1.524932637E+00,3.572931144E-01,1.062057098E-01
a1027,1.600077568E+02,1.709301952E+00,9.880610975E-01,2.290964844E-01,6.578369828E-02
a1028,1.586939667E+02,3.066274149E+00,1.751043313E+00,3.893938311E-01,9.932200969E-02
a1029,1.626252033E+02,1.931071044E+00,1.114428372E+00,2.568549369E-01,7.244234007E-02
a103,2.944103929E+00,3.271570100E-02,1.835505636E-02,3.941137941E-03,8.841759328E-04
a1030,1.616991587E+02,2.431967088E+00,1.423325204E+00,3.390583676E-01,1.064906492E-01
a1031,1.635393262E+02,1.407355953E+00,8.119345438E-01,1.878912636E-01,5.349203620E-02
a1032,1.634999518E+02,1.427714563E+00,8.245051017E-01,1.916850818E-01,5.614344453E-02
a1033,1.636249003E+02,1.354930001E+00,7.832752181E-01,1.827301212E-01,5.416433071E-02
a1034,1.651658561E+02,1.054884439E+00,6.035487235E-01,1.375882758E-01,3.812249008E-02
a1035,1.645993037E+02,1.366242639E+00,7.912627844E-01,1.859289975E-01,5.726186963E-02
a1036,1.647978735E+02,1.833475626E+00,1.056286586E+00,2.431739590E-01,6.919029945E-02
a1037,1.655902114E+02,1.376229711E+00,7.947896703E-01,1.847952140E-01,5.397403144E-02
a1038,1.648975466E+02,1.780497108E+00,1.023576791E+00,2.340269957E-01,6.435251205E-02
a1039,1.634623141E+02,2.595621107E+00,1.499465030E+00,3.450076243E-01,9.759213013E-02
