Rupture,Magnitude,Aggregate Loss
smlt=00|ses=0010|src=229-44|rup=005-01,7.2500000,2069061876.2300000
smlt=00|ses=0010|src=229-36|rup=006-01,7.7500000,1428878513.0400000
smlt=00|ses=0008|src=230-238|rup=003-01,6.2500000,1330170942.0200000
smlt=00|ses=0006|src=229-31|rup=003-01,6.2500000,1006555343.5500000
smlt=00|ses=0010|src=229-107|rup=006-01,7.7500000,881167441.3750000
smlt=00|ses=0008|src=229-50|rup=002-01,5.7500000,845273510.5960000
smlt=00|ses=0003|src=230-150|rup=002-01,5.7500000,795978932.4480000
smlt=00|ses=0010|src=229-31|rup=005-01,7.2500000,777997664.8049999
smlt=00|ses=0001|src=231-140|rup=003-01,6.2500000,754252496.8150001
smlt=00|ses=0009|src=229-67|rup=002-01,5.7500000,752560445.8630000
smlt=00|ses=0006|src=230-90|rup=002-01,5.7500000,675262684.5770000
smlt=00|ses=0007|src=230-72|rup=002-01,5.7500000,675000429.3200001
smlt=00|ses=0006|src=229-45|rup=002-01,5.7500000,633453791.2589999
smlt=00|ses=0008|src=230-233|rup=002-01,5.7500000,555887531.9950000
smlt=00|ses=0008|src=229-9|rup=004-01,6.7500000,544761521.3580000
smlt=00|ses=0009|src=229-73|rup=002-01,5.7500000,538468999.4240000
smlt=00|ses=0002|src=230-232|rup=002-01,5.7500000,536595128.4360000
smlt=00|ses=0002|src=230-43|rup=001-01,5.2500000,524315821.5490000
smlt=00|ses=0008|src=230-203|rup=003-01,6.2500000,509021512.5360000
smlt=00|ses=0003|src=230-66|rup=001-01,5.2500000,497827308.6880000
smlt=00|ses=0007|src=230-96|rup=002-01,5.7500000,479501056.7940000
smlt=00|ses=0003|src=230-144|rup=002-01,5.7500000,469591045.9490000
smlt=00|ses=0004|src=230-4|rup=001-01,5.2500000,456985024.0460000
smlt=00|ses=0005|src=231-206|rup=005-01,7.2500000,452353682.0400000
smlt=00|ses=0003|src=229-41|rup=004-01,6.7500000,449930363.6130000
smlt=00|ses=0010|src=229-6|rup=004-01,6.7500000,447170725.6150000
smlt=00|ses=0008|src=231-121|rup=001-01,5.2500000,433468775.2550000
smlt=00|ses=0001|src=229-66|rup=001-01,5.2500000,420216974.4930000
