Rupture,Magnitude,Aggregate Loss
smlt=00|ses=0010|src=229-44|rup=005-01,7.2500000,2899694163.2100000
smlt=00|ses=0010|src=229-36|rup=006-01,7.7500000,2342162528.7100000
smlt=00|ses=0008|src=230-238|rup=003-01,6.2500000,1913329396.2800000
smlt=00|ses=0006|src=229-31|rup=003-01,6.2500000,1662982847.4000001
smlt=00|ses=0010|src=229-107|rup=006-01,7.7500000,1489470172.3800001
smlt=00|ses=0008|src=229-50|rup=002-01,5.7500000,1412203251.9300001
smlt=00|ses=0003|src=230-150|rup=002-01,5.7500000,1310268288.1600001
smlt=00|ses=0009|src=229-67|rup=002-01,5.7500000,1294939128.0599999
smlt=00|ses=0010|src=229-31|rup=005-01,7.2500000,1265620324.0200000
smlt=00|ses=0001|src=231-140|rup=003-01,6.2500000,1233842550.8499999
smlt=00|ses=0006|src=230-90|rup=002-01,5.7500000,1091950405.0500000
smlt=00|ses=0007|src=230-72|rup=002-01,5.7500000,1085564517.6600001
smlt=00|ses=0006|src=229-45|rup=002-01,5.7500000,1004027293.0599999
smlt=00|ses=0008|src=229-9|rup=004-01,6.7500000,927316588.9490000
smlt=00|ses=0008|src=230-233|rup=002-01,5.7500000,924736827.5220000
smlt=00|ses=0002|src=230-232|rup=002-01,5.7500000,909861907.6420000
smlt=00|ses=0009|src=229-73|rup=002-01,5.7500000,908609402.2130001
smlt=00|ses=0002|src=230-43|rup=001-01,5.2500000,886679831.6050000
smlt=00|ses=0008|src=230-203|rup=003-01,6.2500000,846030507.9310000
smlt=00|ses=0007|src=230-96|rup=002-01,5.7500000,810396168.9870000
smlt=00|ses=0003|src=230-144|rup=002-01,5.7500000,795011419.9230000
smlt=00|ses=0003|src=230-66|rup=001-01,5.2500000,772714419.6860000
smlt=00|ses=0004|src=230-4|rup=001-01,5.2500000,769584922.8130000
smlt=00|ses=0003|src=229-41|rup=004-01,6.7500000,764502348.3680000
smlt=00|ses=0010|src=229-6|rup=004-01,6.7500000,754979850.1289999
smlt=00|ses=0005|src=231-206|rup=005-01,7.2500000,743674268.6020000
smlt=00|ses=0001|src=229-66|rup=001-01,5.2500000,721579536.9690000
smlt=00|ses=0003|src=230-24|rup=001-01,5.2500000,698173697.9160000
smlt=00|ses=0009|src=229-37|rup=003-01,6.2500000,685479829.2270000
smlt=00|ses=0009|src=231-51|rup=001-01,5.2500000,670202267.9390000
smlt=00|ses=0007|src=231-190|rup=001-01,5.2500000,659737962.0220000
smlt=00|ses=0010|src=230-173|rup=002-01,5.7500000,650652932.3780000
smlt=00|ses=0004|src=229-100|rup=004-01,6.7500000,650459837.3710001
smlt=00|ses=0006|src=230-180|rup=001-01,5.2500000,649907686.3800000
smlt=00|ses=0004|src=231-162|rup=001-01,5.2500000,629424988.8230000
smlt=00|ses=0005|src=229-34|rup=003-01,6.2500000,622823136.1760000
smlt=00|ses=0008|src=231-121|rup=001-01,5.2500000,617489356.5970000
smlt=00|ses=0008|src=230-61|rup=001-01,5.2500000,615056932.6240000
smlt=00|ses=0003|src=231-213|rup=001-01,5.2500000,612391458.8090000
smlt=00|ses=0010|src=229-95|rup=001-01,5.2500000,610281941.5910000
smlt=00|ses=0006|src=229-49|rup=002-01,5.7500000,605139625.8559999
smlt=00|ses=0007|src=229-116|rup=001-01,5.2500000,605053271.3540000
smlt=00|ses=0001|src=231-164|rup=001-01,5.2500000,596386429.7970001
smlt=00|ses=0004|src=230-134|rup=003-01,6.2500000,582781687.2640001
smlt=00|ses=0009|src=229-50|rup=001-01,5.2500000,580359160.3800000
smlt=00|ses=0001|src=230-173|rup=001-01,5.2500000,569337889.3440000
smlt=00|ses=0002|src=230-183|rup=001-01,5.2500000,561232282.3440000
smlt=00|ses=0003|src=230-268|rup=003-01,6.2500000,559930463.5730000
smlt=00|ses=0005|src=230-26|rup=002-01,5.7500000,551284728.3930000
smlt=00|ses=0005|src=229-26|rup=002-01,5.7500000,544883221.0140001
smlt=00|ses=0006|src=231-135|rup=001-01,5.2500000,535794675.7960000
smlt=00|ses=0001|src=229-116|rup=001-01,5.2500000,535436352.2840000
smlt=00|ses=0005|src=229-94|rup=001-01,5.2500000,534330190.1330000
smlt=00|ses=0002|src=231-121|rup=003-01,6.2500000,531667926.2310000
smlt=00|ses=0001|src=229-139|rup=003-01,6.2500000,530754095.3130000
smlt=00|ses=0007|src=230-29|rup=001-01,5.2500000,527553193.9660000
smlt=00|ses=0006|src=229-12|rup=003-01,6.2500000,514893273.2730000
smlt=00|ses=0008|src=230-113|rup=002-01,5.7500000,513582548.3340000
smlt=00|ses=0010|src=229-74|rup=002-01,5.7500000,510004971.1670000
smlt=00|ses=0009|src=229-45|rup=001-01,5.2500000,508356958.4120000
smlt=00|ses=0005|src=229-48|rup=001-01,5.2500000,496539601.2520000
smlt=00|ses=0009|src=232-107|rup=003-01,6.2500000,496441140.4230000
smlt=00|ses=0005|src=229-38|rup=002-01,5.7500000,494198164.9110000
smlt=00|ses=0007|src=231-48|rup=002-01,5.7500000,492723887.7110000
