rupture_tag,aggregate_loss,insured_loss
col=00~ses=0001~src=226-54~rup=001-01,2.1118148E+06,0.0000000E+00
col=00~ses=0001~src=227-126~rup=001-01,8.5567784E+07,0.0000000E+00
col=00~ses=0001~src=227-14~rup=001-01,2.5817666E+05,0.0000000E+00
col=00~ses=0001~src=227-99~rup=001-01,2.6845494E+07,0.0000000E+00
col=00~ses=0001~src=228-84~rup=001-01,1.2428300E+06,0.0000000E+00
col=00~ses=0001~src=229-143~rup=001-01,1.8963238E+08,3.2632266E+04
col=00~ses=0001~src=229-158~rup=001-01,1.8571482E+08,3.9957705E+03
col=00~ses=0001~src=229-166~rup=003-01,6.5372256E+08,1.0902015E+04
col=00~ses=0001~src=229-46~rup=001-01,6.4490560E+08,0.0000000E+00
col=00~ses=0001~src=229-58~rup=002-01,2.7171293E+08,4.4525298E+03
col=00~ses=0001~src=229-70~rup=003-01,1.6175223E+09,9.0892572E+02
col=00~ses=0001~src=229-91~rup=001-01,1.3491880E+09,0.0000000E+00
col=00~ses=0001~src=230-254~rup=001-01,2.3220046E+08,0.0000000E+00
col=00~ses=0001~src=230-277~rup=002-01,6.9490304E+08,0.0000000E+00
col=00~ses=0001~src=230-293~rup=004-01,1.7026259E+09,0.0000000E+00
col=00~ses=0001~src=231-231~rup=002-01,9.4180166E+08,5.6272520E+03
col=00~ses=0001~src=231-246~rup=001-01,3.4264067E+08,0.0000000E+00
col=00~ses=0001~src=232-0~rup=001-01,8.2564656E+07,3.1917229E+03
col=00~ses=0001~src=232-111~rup=001-01,3.6550646E+08,2.3142664E+03
col=00~ses=0001~src=232-13~rup=002-01,3.7445213E+08,5.8956996E+04
col=00~ses=0001~src=232-26~rup=001-01,1.2360421E+08,8.8848572E+02
col=00~ses=0001~src=232-4~rup=001-01,1.3226779E+08,4.3571461E+04
col=00~ses=0001~src=232-59~rup=001-01,1.3471398E+08,1.8002856E+03
col=00~ses=0001~src=232-97~rup=001-01,3.0350774E+08,2.4304185E+02
col=00~ses=0001~src=232-98~rup=005-01,1.5060823E+09,4.3512199E+04
col=00~ses=0001~src=233-23~rup=002-01,2.5823638E+07,0.0000000E+00
col=00~ses=0001~src=233-91~rup=001-01,2.1063988E+07,1.1482582E+03
col=00~ses=0001~src=234-136~rup=001-01,1.1798778E+08,9.3049434E+03
col=00~ses=0001~src=234-16~rup=001-01,7.7052088E+07,3.0297021E+03
col=00~ses=0001~src=234-34~rup=004-01,4.4266083E+08,2.2774748E+04
col=00~ses=0001~src=234-53~rup=002-01,2.0725341E+08,0.0000000E+00
col=00~ses=0001~src=234-72~rup=001-01,1.2650889E+08,0.0000000E+00
col=00~ses=0001~src=234-74~rup=001-01,1.2052608E+08,0.0000000E+00
col=00~ses=0001~src=234-75~rup=002-01,2.0009278E+08,0.0000000E+00
col=00~ses=0001~src=234-88~rup=002-01,2.1379051E+08,2.7085941E+02
col=00~ses=0001~src=235-0~rup=001-01,1.1210006E+07,0.0000000E+00
col=00~ses=0001~src=235-19~rup=001-01,1.4652206E+07,0.0000000E+00
col=00~ses=0001~src=235-239~rup=003-01,2.3045675E+08,5.7984937E+02
col=00~ses=0001~src=235-278~rup=003-01,8.4197626E+08,3.5698682E+02
col=00~ses=0001~src=235-281~rup=003-01,6.2202163E+08,0.0000000E+00
col=00~ses=0001~src=235-303~rup=001-01,2.0317003E+08,0.0000000E+00
col=00~ses=0001~src=235-313~rup=001-01,2.4570147E+08,0.0000000E+00
col=00~ses=0001~src=235-373~rup=001-01,3.8302941E+08,1.4268833E+03
col=00~ses=0001~src=235-85~rup=005-01,6.8143984E+07,0.0000000E+00
col=00~ses=0001~src=238-113~rup=001-01,8.8360990E+06,0.0000000E+00
col=00~ses=0001~src=238-117~rup=001-01,5.1497685E+06,0.0000000E+00
col=00~ses=0001~src=238-117~rup=001-02,6.2481410E+06,0.0000000E+00
col=00~ses=0001~src=238-117~rup=001-03,5.6080595E+06,0.0000000E+00
col=00~ses=0001~src=238-118~rup=003-01,1.4227195E+07,0.0000000E+00
col=00~ses=0001~src=238-125~rup=002-01,1.4456942E+07,0.0000000E+00
col=00~ses=0001~src=238-126~rup=002-01,2.6988642E+07,0.0000000E+00
col=00~ses=0001~src=238-133~rup=001-01,1.1101548E+07,0.0000000E+00
col=00~ses=0001~src=238-135~rup=001-01,9.0600590E+06,0.0000000E+00
col=00~ses=0001~src=238-136~rup=001-01,2.1924768E+07,0.0000000E+00
col=00~ses=0001~src=238-136~rup=001-02,7.6579550E+06,0.0000000E+00
col=00~ses=0001~src=238-139~rup=001-01,1.1939126E+07,0.0000000E+00
col=00~ses=0001~src=238-143~rup=002-01,4.2588888E+07,0.0000000E+00
col=00~ses=0001~src=238-144~rup=002-01,2.6227034E+07,0.0000000E+00
col=00~ses=0001~src=238-145~rup=001-01,8.0000390E+06,0.0000000E+00
col=00~ses=0001~src=238-148~rup=001-01,1.1765966E+07,0.0000000E+00
col=00~ses=0001~src=238-14~rup=003-01,8.7810075E+05,0.0000000E+00
col=00~ses=0001~src=238-15~rup=001-01,2.2726530E+05,0.0000000E+00
col=00~ses=0001~src=238-167~rup=002-01,1.6131901E+07,0.0000000E+00
col=00~ses=0001~src=238-172~rup=002-01,5.5675540E+07,0.0000000E+00
col=00~ses=0001~src=238-17~rup=001-01,5.3435400E+05,0.0000000E+00
col=00~ses=0001~src=238-180~rup=001-01,2.7506406E+07,0.0000000E+00
col=00~ses=0001~src=238-184~rup=002-01,7.1632368E+07,0.0000000E+00
col=00~ses=0001~src=238-186~rup=001-01,1.0743894E+08,0.0000000E+00
col=00~ses=0001~src=238-1~rup=001-01,1.6172031E+04,0.0000000E+00
col=00~ses=0001~src=238-29~rup=003-01,9.3513225E+05,0.0000000E+00
col=00~ses=0001~src=238-3~rup=002-01,2.4817801E+04,0.0000000E+00
col=00~ses=0001~src=238-46~rup=001-01,8.7483212E+05,0.0000000E+00
col=00~ses=0001~src=238-50~rup=001-01,1.5534780E+06,0.0000000E+00
col=00~ses=0001~src=238-59~rup=003-01,6.3627360E+06,0.0000000E+00
